アヤメ品種_サンプル名,がく片長_cm,がく片幅_cm,花弁長_cm,花弁幅_cm
Setosa_001,5.1,3.5,1.4,0.2
Setosa_002,4.9,3.0,1.4,0.2
Setosa_003,4.7,3.2,1.3,0.2
Setosa_004,4.6,3.1,1.5,0.2
Setosa_005,5.0,3.6,1.4,0.2
Setosa_006,5.4,3.9,1.7,0.4
Setosa_007,4.6,3.4,1.4,0.3
Setosa_008,5.0,3.4,1.5,0.2
Setosa_009,4.4,2.9,1.4,0.2
Setosa_010,4.9,3.1,1.5,0.1
Setosa_011,5.4,3.7,1.5,0.2
Setosa_012,4.8,3.4,1.6,0.2
Setosa_013,4.8,3.0,1.4,0.1
Setosa_014,4.3,3.0,1.1,0.1
Setosa_015,5.8,4.0,1.2,0.2
Setosa_016,5.7,4.4,1.5,0.4
Setosa_017,5.4,3.9,1.3,0.4
Setosa_018,5.1,3.5,1.4,0.3
Setosa_019,5.7,3.8,1.7,0.3
Setosa_020,5.1,3.8,1.5,0.3
Setosa_021,5.4,3.4,1.7,0.2
Setosa_022,5.1,3.7,1.5,0.4
Setosa_023,4.6,3.6,1.0,0.2
Setosa_024,5.1,3.3,1.7,0.5
Setosa_025,4.8,3.4,1.9,0.2
Setosa_026,5.0,3.0,1.6,0.2
Setosa_027,5.0,3.4,1.6,0.4
Setosa_028,5.2,3.5,1.5,0.2
Setosa_029,5.2,3.4,1.4,0.2
Setosa_030,4.7,3.2,1.6,0.2
Setosa_031,4.8,3.1,1.6,0.2
Setosa_032,5.4,3.4,1.5,0.4
Setosa_033,5.2,4.1,1.5,0.1
Setosa_034,5.5,4.2,1.4,0.2
Setosa_035,4.9,3.1,1.5,0.2
Setosa_036,5.0,3.2,1.2,0.2
Setosa_037,5.5,3.5,1.3,0.2
Setosa_038,4.9,3.6,1.4,0.1
Setosa_039,4.4,3.0,1.3,0.2
Setosa_040,5.1,3.4,1.5,0.2
Setosa_041,5.0,3.5,1.3,0.3
Setosa_042,4.5,2.3,1.3,0.3
Setosa_043,4.4,3.2,1.3,0.2
Setosa_044,5.0,3.5,1.6,0.6
Setosa_045,5.1,3.8,1.9,0.4
Setosa_046,4.8,3.0,1.4,0.3
Setosa_047,5.1,3.8,1.6,0.2
Setosa_048,4.6,3.2,1.4,0.2
Setosa_049,5.3,3.7,1.5,0.2
Setosa_050,5.0,3.3,1.4,0.2
Versicolor_051,7.0,3.2,4.7,1.4
Versicolor_052,6.4,3.2,4.5,1.5
Versicolor_053,6.9,3.1,4.9,1.5
Versicolor_054,5.5,2.3,4.0,1.3
Versicolor_055,6.5,2.8,4.6,1.5
Versicolor_056,5.7,2.8,4.5,1.3
Versicolor_057,6.3,3.3,4.7,1.6
Versicolor_058,4.9,2.4,3.3,1.0
Versicolor_059,6.6,2.9,4.6,1.3
Versicolor_060,5.2,2.7,3.9,1.4
Versicolor_061,5.0,2.0,3.5,1.0
Versicolor_062,5.9,3.0,4.2,1.5
Versicolor_063,6.0,2.2,4.0,1.0
Versicolor_064,6.1,2.9,4.7,1.4
Versicolor_065,5.6,2.9,3.6,1.3
Versicolor_066,6.7,3.1,4.4,1.4
Versicolor_067,5.6,3.0,4.5,1.5
Versicolor_068,5.8,2.7,4.1,1.0
Versicolor_069,6.2,2.2,4.5,1.5
Versicolor_070,5.6,2.5,3.9,1.1
Versicolor_071,5.9,3.2,4.8,1.8
Versicolor_072,6.1,2.8,4.0,1.3
Versicolor_073,6.3,2.5,4.9,1.5
Versicolor_074,6.1,2.8,4.7,1.2
Versicolor_075,6.4,2.9,4.3,1.3
Versicolor_076,6.6,3.0,4.4,1.4
Versicolor_077,6.8,2.8,4.8,1.4
Versicolor_078,6.7,3.0,5.0,1.7
Versicolor_079,6.0,2.9,4.5,1.5
Versicolor_080,5.7,2.6,3.5,1.0
Versicolor_081,5.5,2.4,3.8,1.1
Versicolor_082,5.5,2.4,3.7,1.0
Versicolor_083,5.8,2.7,3.9,1.2
Versicolor_084,6.0,2.7,5.1,1.6
Versicolor_085,5.4,3.0,4.5,1.5
Versicolor_086,6.0,3.4,4.5,1.6
Versicolor_087,6.7,3.1,4.7,1.5
Versicolor_088,6.3,2.3,4.4,1.3
Versicolor_089,5.6,3.0,4.1,1.3
Versicolor_090,5.5,2.5,4.0,1.3
Versicolor_091,5.5,2.6,4.4,1.2
Versicolor_092,6.1,3.0,4.6,1.4
Versicolor_093,5.8,2.6,4.0,1.2
Versicolor_094,5.0,2.3,3.3,1.0
Versicolor_095,5.6,2.7,4.2,1.3
Versicolor_096,5.7,3.0,4.2,1.2
Versicolor_097,5.7,2.9,4.2,1.3
Versicolor_098,6.2,2.9,4.3,1.3
Versicolor_099,5.1,2.5,3.0,1.1
Versicolor_100,5.7,2.8,4.1,1.3
Virginica_101,6.3,3.3,6.0,2.5
Virginica_102,5.8,2.7,5.1,1.9
Virginica_103,7.1,3.0,5.9,2.1
Virginica_104,6.3,2.9,5.6,1.8
Virginica_105,6.5,3.0,5.8,2.2
Virginica_106,7.6,3.0,6.6,2.1
Virginica_107,4.9,2.5,4.5,1.7
Virginica_108,7.3,2.9,6.3,1.8
Virginica_109,6.7,2.5,5.8,1.8
Virginica_110,7.2,3.6,6.1,2.5
Virginica_111,6.5,3.2,5.1,2.0
Virginica_112,6.4,2.7,5.3,1.9
Virginica_113,6.8,3.0,5.5,2.1
Virginica_114,5.7,2.5,5.0,2.0
Virginica_115,5.8,2.8,5.1,2.4
Virginica_116,6.4,3.2,5.3,2.3
Virginica_117,6.5,3.0,5.5,1.8
Virginica_118,7.7,3.8,6.7,2.2
Virginica_119,7.7,2.6,6.9,2.3
Virginica_120,6.0,2.2,5.0,1.5
Virginica_121,6.9,3.2,5.7,2.3
Virginica_122,5.6,2.8,4.9,2.0
Virginica_123,7.7,2.8,6.7,2.0
Virginica_124,6.3,2.7,4.9,1.8
Virginica_125,6.7,3.3,5.7,2.1
Virginica_126,7.2,3.2,6.0,1.8
Virginica_127,6.2,2.8,4.8,1.8
Virginica_128,6.1,3.0,4.9,1.8
Virginica_129,6.4,2.8,5.6,2.1
Virginica_130,7.2,3.0,5.8,1.6
Virginica_131,7.4,2.8,6.1,1.9
Virginica_132,7.9,3.8,6.4,2.0
Virginica_133,6.4,2.8,5.6,2.2
Virginica_134,6.3,2.8,5.1,1.5
Virginica_135,6.1,2.6,5.6,1.4
Virginica_136,7.7,3.0,6.1,2.3
Virginica_137,6.3,3.4,5.6,2.4
Virginica_138,6.4,3.1,5.5,1.8
Virginica_139,6.0,3.0,4.8,1.8
Virginica_140,6.9,3.1,5.4,2.1
Virginica_141,6.7,3.1,5.6,2.4
Virginica_142,6.9,3.1,5.1,2.3
Virginica_143,5.8,2.7,5.1,1.9
Virginica_144,6.8,3.2,5.9,2.3
Virginica_145,6.7,3.3,5.7,2.5
Virginica_146,6.7,3.0,5.2,2.3
Virginica_147,6.3,2.5,5.0,1.9
Virginica_148,6.5,3.0,5.2,2.0
Virginica_149,6.2,3.4,5.4,2.3
Virginica_150,5.9,3.0,5.1,1.8
