店舗ID_店舗名,年間売上高_百万円,年間来店客数_千人,平均客単価_円,リピート会員率_pct,売り場面積_m2
旗艦店_01,1183.7,458.8,1738,44.5,1789
旗艦店_02,1206.0,762.3,1643,48.4,1224
旗艦店_03,931.2,626.9,1613,44.0,1720
旗艦店_04,1127.0,527.2,1895,56.2,1205
旗艦店_05,1283.5,694.3,1770,43.1,1966
旗艦店_06,1002.0,482.5,1648,56.9,1683
旗艦店_07,1284.3,705.4,1868,59.5,1503
旗艦店_08,1131.2,740.3,1909,57.2,1662
旗艦店_09,1222.7,466.0,1714,45.8,1264
旗艦店_10,939.7,485.4,1739,52.7,1492
旗艦店_11,1022.1,523.3,1733,58.7,1718
旗艦店_12,1165.5,509.9,1965,43.3,1504
旗艦店_13,1393.7,674.0,1878,53.7,1874
旗艦店_14,1265.6,530.2,1616,46.3,1414
旗艦店_15,926.6,780.0,2038,46.3,1724
郊外店_01,468.7,364.6,1584,71.1,923
郊外店_02,518.4,247.3,1634,85.6,1000
郊外店_03,415.8,379.6,1604,67.1,824
郊外店_04,382.9,312.9,1717,74.7,832
郊外店_05,464.5,379.3,1612,87.3,1230
郊外店_06,353.4,329.7,1673,77.4,933
郊外店_07,542.3,220.1,1574,75.4,1277
郊外店_08,612.8,247.4,1600,69.1,1256
郊外店_09,611.2,253.7,1656,79.0,876
郊外店_10,578.8,297.1,1711,77.2,800
郊外店_11,447.2,203.5,1772,85.2,1216
郊外店_12,442.3,210.4,1751,86.8,843
郊外店_13,495.8,212.5,1704,82.6,864
郊外店_14,492.6,299.0,1506,85.1,1012
郊外店_15,413.5,297.1,1692,69.6,956
郊外店_16,648.5,317.0,1575,76.9,861
郊外店_17,417.4,260.9,1635,70.3,910
郊外店_18,371.3,313.6,1492,85.8,1230
駅ナカ店_01,424.8,607.1,1134,29.3,176
駅ナカ店_02,727.4,757.0,1036,40.7,311
駅ナカ店_03,466.6,543.6,1016,33.5,243
駅ナカ店_04,655.2,803.0,1292,27.0,231
駅ナカ店_05,518.8,887.8,924,28.8,240
駅ナカ店_06,547.7,625.3,925,43.5,239
駅ナカ店_07,701.5,747.6,825,45.0,317
駅ナカ店_08,739.1,916.9,1224,28.3,247
駅ナカ店_09,474.8,680.5,829,32.6,347
駅ナカ店_10,492.8,852.8,1028,33.5,341
駅ナカ店_11,748.4,750.1,1159,28.1,209
駅ナカ店_12,739.0,760.6,1071,40.0,161
駅ナカ店_13,604.5,726.3,1226,28.1,342
駅ナカ店_14,428.0,583.6,1098,38.5,197
駅ナカ店_15,442.0,900.6,923,36.9,274
駅ナカ店_16,546.7,762.7,1061,43.7,191
駅ナカ店_17,650.7,607.4,998,38.4,210
