顧客ID_チャネル,地域,生鮮食品,乳製品,食料品,冷凍食品,洗剤_紙類,惣菜
Cust1_Retail,3,12669,9656,7561,214,2674,1338
Cust2_Retail,3,7057,9810,9568,1762,3293,1776
Cust3_Retail,3,6353,8808,7684,2405,3516,7844
Cust4_Horeca,3,13265,1196,4221,6404,507,1788
Cust5_Retail,3,22615,5410,7198,3915,1777,5185
Cust6_Retail,3,9413,8259,5126,666,1795,1451
Cust7_Retail,3,12126,3199,6975,480,3140,545
Cust8_Retail,3,7579,4956,9426,1669,3321,2566
Cust9_Horeca,3,5963,3648,6192,425,1716,750
Cust10_Retail,3,6006,11093,18881,1159,7425,2098
Cust11_Retail,3,3366,5403,12974,4400,5977,1744
Cust12_Retail,3,13146,1124,4523,1420,549,497
Cust13_Retail,3,31714,12319,11757,287,3881,2931
Cust14_Retail,3,21217,6208,14982,3095,6707,602
Cust15_Retail,3,24653,9465,12091,294,5058,2168
Cust16_Horeca,3,10253,1114,3821,397,964,412
Cust17_Retail,3,1020,8816,12121,134,4508,1080
Cust18_Horeca,3,5876,6157,2933,839,370,4478
Cust19_Retail,3,18601,6327,10099,2205,2767,3181
Cust20_Horeca,3,7780,2495,9464,669,2518,501
Cust21_Retail,3,17546,4519,4602,1066,2259,2124
Cust22_Horeca,3,5567,871,2010,3383,375,569
Cust23_Horeca,3,31276,1917,4469,9408,2381,4334
Cust24_Retail,3,26373,36423,22019,5154,4337,16523
Cust25_Retail,3,22647,9776,13792,2915,4482,5778
Cust26_Retail,3,16165,4230,7595,201,4003,57
Cust27_Horeca,3,9898,961,2861,3151,242,833
Cust28_Horeca,3,14276,803,3045,485,100,518
Cust29_Retail,3,4113,20484,25957,1158,8604,5206
Cust30_Horeca,3,43088,2100,2609,1200,1107,823
Cust31_Horeca,3,18815,3610,11107,1148,2134,2963
Cust32_Horeca,3,2612,4339,3133,2088,820,985
Cust33_Horeca,3,21632,1318,2886,266,918,405
Cust34_Horeca,3,29729,4786,7326,6130,361,1083
Cust35_Horeca,3,1502,1979,2262,425,483,395
Cust36_Retail,3,688,5491,11091,833,4239,436
Cust37_Horeca,3,29955,4362,5428,1729,862,4626
Cust38_Retail,3,15168,10556,12477,1920,6506,714
Cust39_Retail,3,4591,15729,16709,33,6956,433
Cust40_Horeca,3,56159,555,902,10002,212,2916
Cust41_Horeca,3,24025,4332,4757,9510,1145,5864
Cust42_Horeca,3,19176,3065,5956,2033,2575,2802
Cust43_Retail,3,10850,7555,14961,188,6899,46
Cust44_Retail,3,630,11095,23998,787,9529,72
Cust45_Retail,3,9670,7027,10471,541,4618,65
Cust46_Retail,3,5181,22044,21531,1740,7353,4985
Cust47_Retail,3,3103,14069,21955,1668,6792,1452
Cust48_Retail,3,44466,54259,55571,7782,24171,6465
Cust49_Retail,3,11519,6152,10868,584,5121,1476
Cust50_Retail,3,4967,21412,28921,1798,13583,1163
Cust51_Horeca,3,6269,1095,1980,3860,609,2162
Cust52_Horeca,3,3347,4051,6996,239,1538,301
Cust53_Retail,3,40721,3916,5876,532,2587,1278
Cust54_Retail,3,491,10473,11532,744,5611,224
Cust55_Horeca,3,27329,1449,1947,2436,204,1333
Cust56_Horeca,3,5264,3683,5005,1057,2024,1130
Cust57_Retail,3,4098,29892,26866,2616,17740,1340
Cust58_Retail,3,5417,9933,10487,38,7572,1282
Cust59_Horeca,3,13779,1970,1648,596,227,436
Cust60_Horeca,3,6137,5360,8040,129,3084,1603
Cust61_Retail,3,8590,3045,7854,96,4095,225
Cust62_Retail,3,35942,38369,59598,3254,26701,2017
Cust63_Retail,3,7823,6245,6544,4154,4074,964
Cust64_Retail,3,9396,11601,15775,2896,7677,1295
Cust65_Horeca,3,4760,1227,3250,3724,1247,1145
Cust66_Retail,3,85,20959,45828,36,24231,1423
Cust67_Horeca,3,9,1534,7417,175,3468,27
Cust68_Retail,3,19913,6759,13462,1256,5141,834
Cust69_Horeca,3,2446,7260,3993,5870,788,3095
Cust70_Horeca,3,8352,2820,1293,779,656,144
Cust71_Horeca,3,16705,2037,3202,10643,116,1365
Cust72_Horeca,3,18291,1266,21042,5373,4173,14472
Cust73_Horeca,3,4420,5139,2661,8872,1321,181
Cust74_Retail,3,19899,5332,8713,8132,764,648
Cust75_Retail,3,8190,6343,9794,1285,1901,1780
Cust76_Horeca,3,20398,1137,3,4407,3,975
Cust77_Horeca,3,717,3587,6532,7530,529,894
Cust78_Retail,3,12205,12697,28540,869,12034,1009
Cust79_Horeca,3,10766,1175,2067,2096,301,167
Cust80_Horeca,3,1640,3259,3655,868,1202,1653
Cust81_Horeca,3,7005,829,3009,430,610,529
Cust82_Retail,3,219,9540,14403,283,7818,156
Cust83_Retail,3,10362,9232,11009,737,3537,2342
Cust84_Horeca,3,20874,1563,1783,2320,550,772
Cust85_Retail,3,11867,3327,4814,1178,3837,120
Cust86_Retail,3,16117,46197,92780,1026,40827,2944
Cust87_Retail,3,22925,73498,32114,987,20070,903
Cust88_Horeca,3,43265,5025,8117,6312,1579,14351
Cust89_Horeca,3,7864,542,4042,9735,165,46
Cust90_Horeca,3,24904,3836,5330,3443,454,3178
